B,I,T,P,O,D,L
ULTRA TREND,Track Pant For Boys & Girls,White,₹449,"₹1,199",62% off,https://flipkart//kuchipoo-track-pant-boys-girls/p/itm0ecf2ff15d800?pid=KTKFS2KVGQZ39AP5&lid=LSTKTKFS2KVGQZ39AP5MAPMCH&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KTKFS2KVGQZ39AP5.SEARCH&ssid=pd6h5gzd0w0000001609472196939
kit king,Girls Party(Festive) Top Capri,Pack of 6,₹445,₹999,55% off,https://flipkart//ultra-trend-girls-party-festive-top-capri/p/itm5fecb7d4cd332?pid=KPBFMDYDJPNFT8CU&lid=LSTKPBFMDYDJPNFT8CUDCTWKB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg6tjQ6EHFTlUXsIz3bG4KLhkw5wDx1l5aGWcMVcfeavQA%3D%3D&ssid=pd6h5gzd0w0000001609472196939
FTC FASHIONS,Baby Boys & Baby Girls Ankle Length,"Red, 3/4 Sleeve",₹192,₹499,61% off,https://flipkart//kit-king-baby-boys-girls-ankle-length/p/itmd8b59e7effb01?pid=SOCFHTE7QKZHEEYJ&lid=LSTSOCFHTE7QKZHEEYJETWIVK&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.SOCFHTE7QKZHEEYJ.SEARCH&ssid=pd6h5gzd0w0000001609472196939
FOXSTON,Girls Midi/Knee Length Festive/Wedding Dress,Pack of 5,₹269,₹999,73% off,https://flipkart//ftc-fashions-girls-midi-knee-length-festive-wedding-dress/p/itm095e758f768b5?pid=KDEFZP56ABSNPQNA&lid=LSTKDEFZP56ABSNPQNA9TSYSB&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KDEFZP56ABSNPQNA.SEARCH&ssid=pd6h5gzd0w0000001609472196939
MRM CREATION,"Girls Self Design, Solid Ankle Length",Grey,₹211,₹459,54% off,https://flipkart//foxston-girls-self-design-solid-ankle-length/p/itmaf43b0a594801?pid=SOCFEZMANWJNQMK4&lid=LSTSOCFEZMANWJNQMK4AX3QXC&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.SOCFEZMANWJNQMK4.SEARCH&ssid=pd6h5gzd0w0000001609472196939
x2o,Girls Barbie Party(Festive) Dress Hair Band,"Blue, Pack of 6",₹329,"₹1,299",74% off,https://flipkart//mrm-creation-girls-party-festive-dress-hair-band/p/itm0bc58f6e6a443?pid=KPBFJCY3JEAATBAW&lid=LSTKPBFJCY3JEAATBAWNNW87D&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KPBFJCY3JEAATBAW.SEARCH&ssid=pd6h5gzd0w0000001609472196939
WTWC FAB,Costume kids police dress for 4 to 5 years Kids Costume...,"Dark Green, Pack of 1",₹400,"₹1,000",60% off,https://flipkart//costume-kids-police-dress-4-5-years-wear/p/itm3242826b9edf5?pid=KCWFGH9AB3GU6BJ4&lid=LSTKCWFGH9AB3GU6BJ4165LXO&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KCWFGH9AB3GU6BJ4.SEARCH&ssid=pd6h5gzd0w0000001609472196939
DHARAMG,Track Pant For Boys & Girls,Pack of 12,₹599,"₹1,499",60% off,https://flipkart//x2o-track-pant-boys-girls/p/itmfdwfq98e4jrds?pid=KTKFVHZTPJVEMHDS&lid=LSTKTKFVHZTPJVEMHDSTBORU7&marketplace=FLIPKART&otracker=browse&fm=organic&iid=en_0ppN4nIEfO9ZSxuCI3xgIvsn3uDc%2BmYj%2FRx7An2hxg5yFgkiGaUp3ZkC9Vrh0VJarSiSKWPb%2FBaM0utxzFT3OQ%3D%3D&ssid=pd6h5gzd0w0000001609472196939
Chandrika,"Girls Lehenga Choli Party Wear, Ethnic Wear, Fusion Wea...",Pink,₹550,"₹1,999",72% off,https://flipkart//wtwc-fab-girls-lehenga-choli-party-wear-ethnic-fusion-wear-embroidered-lehenga-dupatta-set/p/itm9478e872abb9f?pid=KLCFGABZBB5WZM27&lid=LSTKLCFGABZBB5WZM27OWRJ9W&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.KLCFGABZBB5WZM27.SEARCH&ssid=pd6h5gzd0w0000001609472196939
CUTIEKINS,Baby Boys & Baby Girls Ankle Length,"Light Blue, Pack of 1",₹245,₹799,69% off,https://flipkart//dharamg-baby-boys-girls-ankle-length/p/itm8989657047849?pid=SOCFAHEWRDMY8XHS&lid=LSTSOCFAHEWRDMY8XHSOE3POQ&marketplace=FLIPKART&otracker=browse&fm=organic&iid=da30c1b5-ceb4-4c65-919b-b7fcd9faa34e.SOCFAHEWRDMY8XHS.SEARCH&ssid=pd6h5gzd0w0000001609472196939
