I,R,P,O,D
Edifier R19 U 4 W Laptop/Desktop Speaker,3.8,"₹1,701","₹1,990",14% off,https://www.flipkart.com/edifier-r19-u-4-w-laptop-desktop-speaker/p/itme4c7405551558?pid=ACCFEJUVTD7H6ZAT&lid=LSTACCFEJUVTD7H6ZATBEHF80&marketplace=FLIPKART&srno=b_2_54&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFEJUVTD7H6ZAT.SEARCH&ssid=p3bl0ml5400000001609474495816
Envent Saber 300 Bluetooth Headset,4,"₹1,499","₹2,999",50% off,https://www.flipkart.com/envent-saber-300-bluetooth-headset/p/itm6d3b179941ecc?pid=ACCF94ERSDBKHXFA&lid=LSTACCF94ERSDBKHXFA4JZKIJ&marketplace=FLIPKART&srno=b_2_55&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCF94ERSDBKHXFA.SEARCH&ssid=p3bl0ml5400000001609474495816
Envent Saber 300 BLK Bluetooth Headset,4,"₹1,499","₹2,999",50% off,https://www.flipkart.com/envent-saber-300-blk-bluetooth-headset/p/itm6e19832605765?pid=ACCF8G2TCHAEZXHK&lid=LSTACCF8G2TCHAEZXHK7TRGKU&marketplace=FLIPKART&srno=b_2_56&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCF8G2TCHAEZXHK.SEARCH&ssid=p3bl0ml5400000001609474495816
AR SON ENTERPRISE A006 20 W Bluetooth  Speaker,4,₹749,"₹1,999",62% off,https://www.flipkart.com/ar-son-enterprise-a006-20-w-bluetooth-speaker/p/itm7bbc035670190?pid=ACCFXMRHUKHXJRVZ&lid=LSTACCFXMRHUKHXJRVZ9P4ATM&marketplace=FLIPKART&srno=b_2_57&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFXMRHUKHXJRVZ.SEARCH&ssid=p3bl0ml5400000001609474495816
Deparq Red_mi Note 8 Pro / Note 8 / 9i / 8 / 8A / K20 Pro Wired Headset,3.1,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-9i-8a-k20-wired-headset/p/itmca2e0dd7b0643?pid=ACCFWF6XWNBTGHWJ&lid=LSTACCFWF6XWNBTGHWJLYG7YB&marketplace=FLIPKART&srno=b_2_58&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFWF6XWNBTGHWJ.SEARCH&ssid=p3bl0ml5400000001609474495816
Helokuki Re_al_me X2 Pro / X2 / XT / X / 5 Pro / 5S / 3i Wired Headset,4.2,₹278,₹999,72% off,https://www.flipkart.com/helokuki-re-al-me-x2-pro-xt-x-5-5s-3i-wired-headset/p/itm8c64ba9faf974?pid=ACCFSXH7EWSEGH2C&lid=LSTACCFSXH7EWSEGH2CKLGX6W&marketplace=FLIPKART&srno=b_2_59&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFSXH7EWSEGH2C.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-BRO Wired Headset,3.9,₹157,₹299,47% off,https://www.flipkart.com/zebronics-zeb-bro-wired-headset/p/itm4eb1ce78d954d?pid=ACCFHECY3ZNGWSRH&lid=LSTACCFHECY3ZNGWSRHSFOL1A&marketplace=FLIPKART&srno=b_2_60&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFHECY3ZNGWSRH.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics Zeb-Thunder(Blue) Bluetooth Headset,3,₹662,"₹1,199",44% off,https://www.flipkart.com/zebronics-zeb-thunder-blue-bluetooth-headset/p/itme9a5850a9660e?pid=ACCFBH83ZFXQHSPU&lid=LSTACCFBH83ZFXQHSPUDBFFET&marketplace=FLIPKART&srno=b_2_61&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBH83ZFXQHSPU.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-THUNDER Bluetooth Headset,3.6,₹778,"₹1,199",35% off,https://www.flipkart.com/zebronics-zeb-thunder-bluetooth-headset/p/itm10d7266f45daf?pid=ACCFBB8BYKCCRBZH&lid=LSTACCFBB8BYKCCRBZH98IDP4&marketplace=FLIPKART&srno=b_2_62&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBB8BYKCCRBZH.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-Thunder(Black) Bluetooth Headset,4.2,₹639,"₹1,199",46% off,https://www.flipkart.com/zebronics-zeb-thunder-black-bluetooth-headset/p/itma1e5f2fbd899d?pid=ACCFBHDEHZFK6M2Y&lid=LSTACCFBHDEHZFK6M2YU6PXRF&marketplace=FLIPKART&srno=b_2_63&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBHDEHZFK6M2Y.SEARCH&ssid=p3bl0ml5400000001609474495816
AR SON ENTERPRISE TG-113 60 W Bluetooth  Speaker,4,₹550,₹999,44% off,https://www.flipkart.com/ar-son-enterprise-tg-113-60-w-bluetooth-speaker/p/itm6b81a9f234895?pid=ACCFVZ8CWZ2VZHHY&lid=LSTACCFVZ8CWZ2VZHHYT0YBDR&marketplace=FLIPKART&srno=b_2_64&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFVZ8CWZ2VZHHY.SEARCH&ssid=p3bl0ml5400000001609474495816
Envent Musique 20 W Home Theatre,4,"₹1,799","₹2,999",40% off,https://www.flipkart.com/envent-musique-20-w-home-theatre/p/itm3d93f967d7359?pid=ACCEW5D7KYPZVZEV&lid=LSTACCEW5D7KYPZVZEVJFQZ9T&marketplace=FLIPKART&srno=b_2_65&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCEW5D7KYPZVZEV.SEARCH&ssid=p3bl0ml5400000001609474495816
"Zebronics BUILT IN FM RADIO,SUPPORTS microSD,AUX Bluetooth Headset",3.9,₹716,"₹1,199",40% off,https://www.flipkart.com/zebronics-built-fm-radio-supports-microsd-aux-bluetooth-headset/p/itmba31837f28c98?pid=ACCFBB8KDRVQEAPR&lid=LSTACCFBB8KDRVQEAPRISU5MN&marketplace=FLIPKART&srno=b_2_66&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBB8KDRVQEAPR.SEARCH&ssid=p3bl0ml5400000001609474495816
Helokuki Narzo 10 / 10 A / 5Pro / 5s / 5i Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/helokuki-narzo-10-5pro-5s-5i-wired-headset/p/itmf21f1a17fb382?pid=ACCFU9B6QYUR54SW&lid=LSTACCFU9B6QYUR54SWP6DQY7&marketplace=FLIPKART&srno=b_2_67&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFU9B6QYUR54SW.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-COROLLA Wired Headset,3.7,₹184,₹399,53% off,https://www.flipkart.com/zebronics-zeb-corolla-wired-headset/p/itmf9c20c162f9e8?pid=ACCFJ3FKXC2SSVYX&lid=LSTACCFJ3FKXC2SSVYXFJEGGB&marketplace=FLIPKART&srno=b_2_68&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFJ3FKXC2SSVYX.SEARCH&ssid=p3bl0ml5400000001609474495816
Envent Beatz 307 GY Wired Headset,3.9,₹527,₹999,47% off,https://www.flipkart.com/envent-beatz-307-gy-wired-headset/p/itmef7a2cb0471bd?pid=ACCFDJ6XR4ZYAPKB&lid=LSTACCFDJ6XR4ZYAPKB5XFKNN&marketplace=FLIPKART&srno=b_2_69&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFDJ6XR4ZYAPKB.SEARCH&ssid=p3bl0ml5400000001609474495816
"i-FiX Beats For 7, 8, X, 11, 12 Wired Headset",3.8,₹549,"₹2,249",75% off,https://www.flipkart.com/i-fix-beats-7-8-x-11-12-wired-headset/p/itmbba29c11fce38?pid=ACCFX8WT8PP7KXHM&lid=LSTACCFX8WT8PP7KXHMJ2Z2RR&marketplace=FLIPKART&srno=b_2_70&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFX8WT8PP7KXHM.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-THUNDER Bluetooth Headset,3.6,₹666,"₹1,199",44% off,https://www.flipkart.com/zebronics-zeb-thunder-bluetooth-headset/p/itmf1f5bf9c5353a?pid=ACCFBHDF8UG8GQGV&lid=LSTACCFBHDF8UG8GQGVVLPEW4&marketplace=FLIPKART&srno=b_2_71&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBHDF8UG8GQGV.SEARCH&ssid=p3bl0ml5400000001609474495816
"Zebronics THUNDER BUILT IN FM RADIO,SUPPORTS microSD,AUX FUNCTION Bluetooth Headset",3.7,₹713,"₹1,199",40% off,https://www.flipkart.com/zebronics-thunder-built-fm-radio-supports-microsd-aux-function-bluetooth-headset/p/itmc1762b4ec2f1d?pid=ACCFBB8THWUYGMP6&lid=LSTACCFBB8THWUYGMP6WOMKJX&marketplace=FLIPKART&srno=b_2_72&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCFBB8THWUYGMP6.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-NOBLE+ 3 W Bluetooth Speaker 3 W Bluetooth  Speaker,4.3,₹518,₹777,33% off,https://www.flipkart.com/zebronics-zeb-noble-3-w-bluetooth-speaker/p/itma25cab14dbcb7?pid=ACCEXYDZYJXFHUCY&lid=LSTACCEXYDZYJXFHUCYEUBTDX&marketplace=FLIPKART&srno=b_2_73&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCEXYDZYJXFHUCY.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-BE380T Bluetooth Headset,3.7,₹776,₹999,22% off,https://www.flipkart.com/zebronics-zeb-be380t-bluetooth-headset/p/itmdca00a36d450f?pid=ACCEZHJZS3JWKUXY&lid=LSTACCEZHJZS3JWKUXYJVSLUX&marketplace=FLIPKART&srno=b_2_74&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=a779e3f8-78e2-428d-bce7-ae302aa58b23.ACCEZHJZS3JWKUXY.SEARCH&ssid=p3bl0ml5400000001609474495816
Zebronics ZEB-PASSION 3 W Bluetooth  Speaker,3.7,₹663,₹899,26% off,https://www.flipkart.com/zebronics-zeb-passion-3-w-bluetooth-speaker/p/itm5438aee91a1d2?pid=ACCFF9Z4EWZT3VAZ&lid=LSTACCFF9Z4EWZT3VAZVITGNX&marketplace=FLIPKART&srno=b_3_81&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFF9Z4EWZT3VAZ.SEARCH&ssid=v45lf7q4e80000001609474502093
Envent Reverb ET-SP21231 30 W Laptop/Desktop Speaker,3.9,"₹1,799","₹3,299",45% off,https://www.flipkart.com/envent-reverb-et-sp21231-30-w-laptop-desktop-speaker/p/itm49f4b3ceaf428?pid=ACCDUQSMJJPGJFDD&lid=LSTACCDUQSMJJPGJFDDA5SSKN&marketplace=FLIPKART&srno=b_3_82&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCDUQSMJJPGJFDD.SEARCH&ssid=v45lf7q4e80000001609474502093
Blaupunkt BT-01 3 W Portable Bluetooth  Speaker,4,"₹1,199","₹2,499",52% off,https://www.flipkart.com/blaupunkt-bt-01-3-w-portable-bluetooth-speaker/p/itm7b152277e2fe0?pid=ACCEVUFCJJT2EZWA&lid=LSTACCEVUFCJJT2EZWAJQGKBA&marketplace=FLIPKART&srno=b_3_83&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCEVUFCJJT2EZWA.SEARCH&ssid=v45lf7q4e80000001609474502093
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,"₹1,390",73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_3_84&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_VNp3wUpz860cKJWn2KeWj%2FTmMbulBnpsdD%2FLR71cibIpg302kbl3n7GIKDCb8vTEpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=v45lf7q4e80000001609474502093
Zebronics ZEB-BH560-GOLD Bluetooth Headset,3.7,₹375,₹525,28% off,https://www.flipkart.com/zebronics-zeb-bh560-gold-bluetooth-headset/p/itm01d1ef164c1d4?pid=ACCF3JH68CN3ZAGX&lid=LSTACCF3JH68CN3ZAGX3N5FML&marketplace=FLIPKART&srno=b_3_85&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF3JH68CN3ZAGX.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics BASS BOOSTER TEMPTATION Wired Headset,3.7,₹319,₹599,46% off,https://www.flipkart.com/zebronics-bass-booster-temptation-wired-headset/p/itmcaa3ecc2f04a4?pid=ACCFD7TF4H4Q6ZEF&lid=LSTACCFD7TF4H4Q6ZEFELDZRI&marketplace=FLIPKART&srno=b_3_86&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFD7TF4H4Q6ZEF.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics AIR ONE Bluetooth Headset without Mic,4,₹860,₹990,13% off,https://www.flipkart.com/zebronics-air-one-bluetooth-headset-without-mic/p/itm560ad06447e01?pid=ACCESURBJTJYEHJD&lid=LSTACCESURBJTJYEHJDRUTNKB&marketplace=FLIPKART&srno=b_3_87&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCESURBJTJYEHJD.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics zEB-dISC Bluetooth Headset,4,₹869,"₹1,399",37% off,https://www.flipkart.com/zebronics-zeb-disc-bluetooth-headset/p/itm0a72590891edd?pid=ACCF4Z447SXKZFJP&lid=LSTACCF4Z447SXKZFJPU8HZLU&marketplace=FLIPKART&srno=b_3_88&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF4Z447SXKZFJP.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics Pine Bluetooth Headset,3.5,₹855,₹999,14% off,https://www.flipkart.com/zebronics-pine-bluetooth-headset/p/itm62d2b3c36b9e7?pid=ACCEZEZFPPH92HCY&lid=LSTACCEZEZFPPH92HCYHT2DSV&marketplace=FLIPKART&srno=b_3_89&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCEZEZFPPH92HCY.SEARCH&ssid=v45lf7q4e80000001609474502093
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899","₹2,999",36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_3_90&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_VNp3wUpz860cKJWn2KeWj%2FTmMbulBnpsdD%2FLR71cibI1cSldaDu99VyXDZ1dWJ8D%2Fff2FEOOs2B%2BwRj5QWRVEA%3D%3D&ssid=v45lf7q4e80000001609474502093
Blaupunkt EM01 Wired Headset,4.2,₹399,"₹1,099",63% off,https://www.flipkart.com/blaupunkt-em01-wired-headset/p/itm7f806cf86b97d?pid=ACCFBMC5QAWFMSV6&lid=LSTACCFBMC5QAWFMSV6K7WSGG&marketplace=FLIPKART&srno=b_3_91&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFBMC5QAWFMSV6.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics Happy Head Bluetooth Headset,3.5,"₹1,145","₹1,999",42% off,https://www.flipkart.com/zebronics-happy-head-bluetooth-headset/p/itm5b1db9a277161?pid=ACCEBEPAKPCCZ5YY&lid=LSTACCEBEPAKPCCZ5YYHUTN1I&marketplace=FLIPKART&srno=b_3_92&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCEBEPAKPCCZ5YY.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics ZEB-SAGA 3 W Bluetooth  Speaker,3.6,₹498,₹599,16% off,https://www.flipkart.com/zebronics-zeb-saga-3-w-bluetooth-speaker/p/itm985a032d69002?pid=ACCF7JS9GYAPFYNR&lid=LSTACCF7JS9GYAPFYNRJOASDT&marketplace=FLIPKART&srno=b_3_93&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF7JS9GYAPFYNR.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics BE390 Sport Wireless Bluetooth Headset,2.9,₹577,₹799,27% off,https://www.flipkart.com/zebronics-be390-sport-wireless-bluetooth-headset/p/itmeebab377db3d9?pid=ACCF4WXU4JGP8BYR&lid=LSTACCF4WXU4JGP8BYRYVXB1T&marketplace=FLIPKART&srno=b_3_94&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF4WXU4JGP8BYR.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics WIRELESS ZEB-COOL 10 Bluetooth Headset,3.3,₹380,₹499,23% off,https://www.flipkart.com/zebronics-wireless-zeb-cool-10-bluetooth-headset/p/itme64f664c1bef9?pid=ACCFNPSYZQFH8T9R&lid=LSTACCFNPSYZQFH8T9RWRZORF&marketplace=FLIPKART&srno=b_3_95&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFNPSYZQFH8T9R.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics ZEB-BH515 Bluetooth Headset,3.4,₹349,₹385,9% off,https://www.flipkart.com/zebronics-zeb-bh515-bluetooth-headset/p/itm03f87aec48af4?pid=ACCF2ZCFW4PYJWXQ&lid=LSTACCF2ZCFW4PYJWXQI2RBIT&marketplace=FLIPKART&srno=b_3_96&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF2ZCFW4PYJWXQ.SEARCH&ssid=v45lf7q4e80000001609474502093
Envent Melody 700 35 W Home Theatre,3,"₹1,999","₹4,299",53% off,https://www.flipkart.com/envent-melody-700-35-w-home-theatre/p/itm836dcfd5042b4?pid=ACCFKHP58ZHNNGXG&lid=LSTACCFKHP58ZHNNGXGHTPAN4&marketplace=FLIPKART&srno=b_3_97&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFKHP58ZHNNGXG.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics ZEB-JOY BT EARPHONE Bluetooth Headset,3.7,"₹1,399","₹1,299",69% off,https://www.flipkart.com/zebronics-zeb-joy-bt-earphone-bluetooth-headset/p/itm0bc1beeb2a428?pid=ACCFJ3F9BGAGPZH3&lid=LSTACCFJ3F9BGAGPZH3ZFHB4G&marketplace=FLIPKART&srno=b_3_98&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCFJ3F9BGAGPZH3.SEARCH&ssid=v45lf7q4e80000001609474502093
Barwa BW304 Bluetooth Headphone Bluetooth Headset,5,₹399,"₹1,199",25% off,https://www.flipkart.com/barwa-bw304-bluetooth-headphone-headset/p/itm87b55c7dc470f?pid=ACCF4PFCZAVEV3RY&lid=LSTACCF4PFCZAVEV3RYWUSWCN&marketplace=FLIPKART&srno=b_3_99&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF4PFCZAVEV3RY.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics ZEB-FAITH Bluetooth Headset,3.6,₹890,₹999,21% off,https://www.flipkart.com/zebronics-zeb-faith-bluetooth-headset/p/itma771d9b2a773c?pid=ACCF2F8Z72YZDM7Q&lid=LSTACCF2F8Z72YZDM7QAP7SIJ&marketplace=FLIPKART&srno=b_3_100&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF2F8Z72YZDM7Q.SEARCH&ssid=v45lf7q4e80000001609474502093
Zebronics Flex Bluetooth Headset,3.2,₹785,"₹4,390",61% off,https://www.flipkart.com/zebronics-flex-bluetooth-headset/p/itmf2fe71d9c7d04?pid=ACCF743RYBU4E3HV&lid=LSTACCF743RYBU4E3HVHDMCEX&marketplace=FLIPKART&srno=b_3_101&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.ACCF743RYBU4E3HV.SEARCH&ssid=v45lf7q4e80000001609474502093
Edifier R101PF Bluetooth Home Theatre,3.2,"₹1,701",₹899,27% off,https://www.flipkart.com/edifier-r101pf-bluetooth-home-theatre/p/itm3a84c9a2e3183?pid=HTHF2Q4F7THEXSJA&lid=LSTHTHF2Q4F7THEXSJA2JM5AR&marketplace=FLIPKART&srno=b_3_102&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=055e55ea-0831-4202-876a-3b8524328ba9.HTHF2Q4F7THEXSJA.SEARCH&ssid=v45lf7q4e80000001609474502093
