I,R,P,O,D
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,4.7,₹268,₹999,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFP68HX7MWWF38.SEARCH&ssid=staw9jogg00000001609474481806
Gionee EP3 Wired Headset,3.8,₹449,₹799,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFWGNPCCBJG6BG.SEARCH&ssid=staw9jogg00000001609474481806
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169","₹1,999",41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFSPYAHGDMZNEH.SEARCH&ssid=staw9jogg00000001609474481806
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFWF8QTN8FHGRG.SEARCH&ssid=staw9jogg00000001609474481806
ShutterBugs XB450 AP EXTRA BASS STEREO HEADPHONE Wired Headset,3.3,₹299,₹999,70% off,https://www.flipkart.com/shutterbugs-xb450-ap-extra-bass-stereo-headphone-wired-headset/p/itm4a718488955f2?pid=ACCFHDGPKG3ZHSWH&lid=LSTACCFHDGPKG3ZHSWHAVN0KH&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFHDGPKG3ZHSWH.SEARCH&ssid=staw9jogg00000001609474481806
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,4,₹289,₹999,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFW8FCWWZZKZRG.SEARCH&ssid=staw9jogg00000001609474481806
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,3.9,₹399,₹999,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFTYGNKACA4C8X.SEARCH&ssid=staw9jogg00000001609474481806
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.7,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFW67NJAEGNUJF.SEARCH&ssid=staw9jogg00000001609474481806
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,₹999,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFWF6Q84WWZQ94.SEARCH&ssid=staw9jogg00000001609474481806
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.3,₹289,₹999,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=e149c4fa-a01a-4570-94b0-bcee4e52de15.ACCFW9K7RUGQYVCK.SEARCH&ssid=staw9jogg00000001609474481806
