B,I,T,P,O,D,L
jogani brother,"Girls, Baby Girls Midi/Knee Length Casual Dress","Blue, Pack of 1",₹265,"₹1,499",82% off,https://flipkart.com/apna-andaaz-indi-girls-baby-girls-midi-knee-length-casual-dress/p/itme146241a172ba?pid=KDEFXRKGG2S5KZFF&lid=LSTKDEFXRKGG2S5KZFFUPB7AT&marketplace=FLIPKART&srno=b_5_193&otracker=browse&fm=organic&iid=7dfa9599-f14a-452e-9697-d1bb1e27c8f2.KDEFXRKGG2S5KZFF.SEARCH&ssid=68u8n9fhls0000001609472504613
Your's Favourite,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...","Multicolor, Pack of 3",₹549,"₹1,599",65% off,https://flipkart.com/jogani-brother-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm5707148286cde?pid=KLCFWN9FYHGGJGHZ&lid=LSTKLCFWN9FYHGGJGHZLJ4WYC&marketplace=FLIPKART&srno=b_5_194&otracker=browse&fm=organic&iid=en_J%2Bv89DNRBYPR3da2c%2BzK9PRvxQUWTNJtc8JBjzbVX5nPt5o93SLvNpruVMTcXknXudYcctp8B1Qaett%2BnVmSKQ%3D%3D&ssid=68u8n9fhls0000001609472504613
MIST N FOGG,"Women, Girls Regular Stockings",Maroon,₹118,₹200,41% off,https://flipkart.com/your-s-favourite-women-girls-regular-stockings/p/itm5be789c563d5c?pid=STOFPXQTV5DZM39E&lid=LSTSTOFPXQTV5DZM39EQASEN1&marketplace=FLIPKART&srno=b_5_195&otracker=browse&fm=organic&iid=7dfa9599-f14a-452e-9697-d1bb1e27c8f2.STOFPXQTV5DZM39E.SEARCH&ssid=68u8n9fhls0000001609472504613
Mrs Queen,Girls Printed Cotton Blend T Shirt,"Multicolor, Short Sleeve",₹359,₹799,55% off,https://flipkart.com/mist-n-fogg-girls-printed-cotton-blend-t-shirt/p/itm61ed6d95bdff2?pid=KTBFZCUPNVZMNKHX&lid=LSTKTBFZCUPNVZMNKHX7ZFMRB&marketplace=FLIPKART&srno=b_5_196&otracker=browse&fm=organic&iid=7dfa9599-f14a-452e-9697-d1bb1e27c8f2.KTBFZCUPNVZMNKHX.SEARCH&ssid=68u8n9fhls0000001609472504613
FTC FASHIONS,"Girls, Women Bralette Lightly Padded Bra",Multicolor,₹331,₹499,33% off,https://flipkart.com/mrs-queen-girls-women-bralette-lightly-padded-bra/p/itm8a02ff2856890?pid=BRAFU96YUNVJAHQ8&lid=LSTBRAFU96YUNVJAHQ8E5JCZL&marketplace=FLIPKART&srno=b_5_197&otracker=browse&fm=organic&iid=7dfa9599-f14a-452e-9697-d1bb1e27c8f2.BRAFU96YUNVJAHQ8.SEARCH&ssid=68u8n9fhls0000001609472504613
Yana,Girls Below Knee Party Dress,"Maroon, Pack of 1",₹399,₹999,60% off,https://flipkart.com/ftc-fashions-girls-below-knee-party-dress/p/itme82193e22e945?pid=KDEFGJHG4HJTVMRK&lid=LSTKDEFGJHG4HJTVMRKYTI2CA&marketplace=FLIPKART&srno=b_5_198&otracker=browse&fm=organic&iid=7dfa9599-f14a-452e-9697-d1bb1e27c8f2.KDEFGJHG4HJTVMRK.SEARCH&ssid=68u8n9fhls0000001609472504613
NOT,Boys & Girls Mickey Party(Festive) T-shirt Pant,Dark Blue,₹328,"₹1,499",78% off,https://flipkart.com/not-boys-girls-party-festive-t-shirt-pant/p/itm9108180bcb549?pid=KPBFVHPDFFKYM8XC&lid=LSTKPBFVHPDFFKYM8XCBYYKS4&marketplace=FLIPKART&srno=b_6_201&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFVHPDFFKYM8XC.SEARCH&ssid=06k2ij6ugg0000001609472509961
Clothes Shop,Girls Lehenga Choli Ethnic Wear Embroidered Lehenga Cho...,"Maroon, Pack of 1",₹269,₹999,73% off,https://flipkart.com/clothes-shop-girls-lehenga-choli-ethnic-wear-embroidered/p/itm9e2eb57003e30?pid=KLCFMKG8CGS4GPTZ&lid=LSTKLCFMKG8CGS4GPTZKYIXK5&marketplace=FLIPKART&srno=b_6_202&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KLCFMKG8CGS4GPTZ.SEARCH&ssid=06k2ij6ugg0000001609472509961
FRANKLY YOURS,Girls Printed Low Cut,Pack of 6,₹385,"₹1,499",74% off,https://flipkart.com/frankly-yours-girls-printed-low-cut/p/itm3e0d8a507ecf6?pid=SOCFHEBMNXZUYKH9&lid=LSTSOCFHEBMNXZUYKH9MAOZNA&marketplace=FLIPKART&srno=b_6_203&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFHEBMNXZUYKH9.SEARCH&ssid=06k2ij6ugg0000001609472509961
CUTIEKINS,Girls Party(Festive) Top Trouser,Pink,₹688,"₹1,299",47% off,https://flipkart.com/cutiekins-girls-party-festive-top-trouser/p/itmac88e9751d5dd?pid=KPBFHGQZSWQNTTY6&lid=LSTKPBFHGQZSWQNTTY676VF7I&marketplace=FLIPKART&srno=b_6_204&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doU4agiS8Mvko%2BE%2FNHVTRTv0N5GxX4SqlGGip2hHAyuhDA%3D%3D&ssid=06k2ij6ugg0000001609472509961
Billion,Girls Printed Cotton Blend T Shirt,"Multicolor, Pack of 5",₹539,"₹1,799",70% off,https://flipkart.com/billion-girls-printed-cotton-blend-t-shirt/p/itmb2ae5d857ac5b?pid=KTBFUMS2BGHUJ9FZ&lid=LSTKTBFUMS2BGHUJ9FZ7XTCNH&marketplace=FLIPKART&srno=b_6_205&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KTBFUMS2BGHUJ9FZ.SEARCH&ssid=06k2ij6ugg0000001609472509961
Shishu,Dungaree For Boys & Girls Printed Hosiery,"Multicolor, Pack of 3",₹498,"₹1,099",54% off,https://flipkart.com/shishu-dungaree-boys-girls-printed-hosiery/p/itm7c90680dc6ec0?pid=KDRFTK7CWZWASDNU&lid=LSTKDRFTK7CWZWASDNU0CDV8T&marketplace=FLIPKART&srno=b_6_206&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDRFTK7CWZWASDNU.SEARCH&ssid=06k2ij6ugg0000001609472509961
Kanhaa,Dungaree For Boys & Girls Casual Self Design Denim,"Yellow, Pack of 1",₹335,₹850,60% off,https://flipkart.com/kanhaa-dungaree-boys-girls-casual-self-design-denim/p/itm721bfea2c52b0?pid=KDRFSRYTGRYDDD7F&lid=LSTKDRFSRYTGRYDDD7FD95WYI&marketplace=FLIPKART&srno=b_6_207&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDRFSRYTGRYDDD7F.SEARCH&ssid=06k2ij6ugg0000001609472509961
WESTCREW,Full Sleeve Floral Print Girls Jacket,"Blue, Cap Sleeve",₹799,"₹1,999",60% off,https://flipkart.com/westcrew-full-sleeve-floral-print-girls-jacket/p/itm5edcce632b8c9?pid=JCKFYKYPGDDS8AFY&lid=LSTJCKFYKYPGDDS8AFYFNHTX7&marketplace=FLIPKART&srno=b_6_208&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.JCKFYKYPGDDS8AFY.SEARCH&ssid=06k2ij6ugg0000001609472509961
smartbazar,Girls Below Knee Festive/Wedding Dress,Black Pack of 1,₹278,₹899,69% off,https://flipkart.com/smartbazar-girls-below-knee-festive-wedding-dress/p/itm9ab6c3d57b568?pid=KDEFVGY4HW9YU6NV&lid=LSTKDEFVGY4HW9YU6NVIITSPD&marketplace=FLIPKART&srno=b_6_209&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFVGY4HW9YU6NV.SEARCH&ssid=06k2ij6ugg0000001609472509961
MVD Fashion,Girls Festive & Party Top and Skirt Set,Pack of 12,₹553,"₹1,999",72% off,https://flipkart.com/mvd-fashion-girls-festive-party-top-skirt-set/p/itmfb7fj7xymnkze?pid=KETFB6NMPMEMUFHB&lid=LSTKETFB6NMPMEMUFHBRZRXBL&marketplace=FLIPKART&srno=b_6_210&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doV6n9Su1GESsefo%2BgFkCrSSN13GNMLuWYmBH2lftYc%2BLw%3D%3D&ssid=06k2ij6ugg0000001609472509961
Orange,Baby Boys & Baby Girls Ankle Length,Grey,₹359,₹999,64% off,https://flipkart.com/orange-baby-boys-girls-ankle-length/p/itm367e6cc21e1b1?pid=SOCFV2GRRBAMUCXC&lid=LSTSOCFV2GRRBAMUCXCLCCGH7&marketplace=FLIPKART&srno=b_6_211&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFV2GRRBAMUCXC.SEARCH&ssid=06k2ij6ugg0000001609472509961
MRM CREATION,Girls Barbie Party(Festive) Dress Hair Band,Orange,₹329,"₹1,299",74% off,https://flipkart.com/mrm-creation-girls-party-festive-dress-hair-band/p/itmbb4d717c7096f?pid=KPBFJCY3NU9AG34B&lid=LSTKPBFJCY3NU9AG34BIWAZRQ&marketplace=FLIPKART&srno=b_6_212&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFJCY3NU9AG34B.SEARCH&ssid=06k2ij6ugg0000001609472509961
NOT,Boys & Girls Party(Festive) T-shirt Pant,White,₹463,"₹1,499",69% off,https://flipkart.com/not-boys-girls-party-festive-t-shirt-pant/p/itm20d5189f5b145?pid=KPBFVGYCGWX379FQ&lid=LSTKPBFVGYCGWX379FQBDMYJD&marketplace=FLIPKART&srno=b_6_213&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFVGYCGWX379FQ.SEARCH&ssid=06k2ij6ugg0000001609472509961
ULTRA TREND,Girls Party(Festive) Top Capri,"Red, 3/4 Sleeve",₹445,₹999,55% off,https://flipkart.com/ultra-trend-girls-party-festive-top-capri/p/itm5fecb7d4cd332?pid=KPBFMDYDJPNFT8CU&lid=LSTKPBFMDYDJPNFT8CUDCTWKB&marketplace=FLIPKART&srno=b_6_214&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doUzovqFoWAfPArBtQ3A91YFkw5wDx1l5aGWcMVcfeavQA%3D%3D&ssid=06k2ij6ugg0000001609472509961
FTC FASHIONS,Girls Midi/Knee Length Festive/Wedding Dress,"Pink, Sleeveless",₹449,"₹1,499",70% off,https://flipkart.com/ftc-fashions-girls-midi-knee-length-festive-wedding-dress/p/itm55fb8c5d720f0?pid=KDEFXY4PYTQAZAG8&lid=LSTKDEFXY4PYTQAZAG8PYDLEI&marketplace=FLIPKART&srno=b_6_215&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFXY4PYTQAZAG8.SEARCH&ssid=06k2ij6ugg0000001609472509961
Johhnie boy,Girls Thigh,"Blue, Half Sleeve",₹122,₹399,69% off,https://flipkart.com/johhnie-boy-girls-thigh/p/itmc45b318408c97?pid=SOCFX3QNPWHXA6CH&lid=LSTSOCFX3QNPWHXA6CHMIQLWW&marketplace=FLIPKART&srno=b_6_216&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFX3QNPWHXA6CH.SEARCH&ssid=06k2ij6ugg0000001609472509961
Chandrika,Girls Midi/Knee Length Casual Dress,Pack of 5,₹290,"₹1,000",71% off,https://flipkart.com/chandrika-girls-midi-knee-length-casual-dress/p/itm0dc6740d74f40?pid=KDEFH4BUWSAQGQJT&lid=LSTKDEFH4BUWSAQGQJTSJVPOZ&marketplace=FLIPKART&srno=b_6_217&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFH4BUWSAQGQJT.SEARCH&ssid=06k2ij6ugg0000001609472509961
MS BROTHERS,Girls Midi/Knee Length Festive/Wedding Dress,"Blue, Pack of 6",₹319,₹999,68% off,https://flipkart.com/ms-brothers-girls-midi-knee-length-festive-wedding-dress/p/itma082253a83b5f?pid=KDEFTMFJCUHCNHCG&lid=LSTKDEFTMFJCUHCNHCGDOLRZC&marketplace=FLIPKART&srno=b_6_218&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFTMFJCUHCNHCG.SEARCH&ssid=06k2ij6ugg0000001609472509961
FOXSTON,"Girls Animal Print Low Cut, Peds/Footie/No-Show",Pack of 3,₹182,₹559,67% off,https://flipkart.com/foxston-girls-animal-print-low-cut-peds-footie-no-show/p/itm82ce573a7be5e?pid=SOCFS8GG7N7YG7YW&lid=LSTSOCFS8GG7N7YG7YW4HNRZU&marketplace=FLIPKART&srno=b_6_219&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFS8GG7N7YG7YW.SEARCH&ssid=06k2ij6ugg0000001609472509961
x2o,Track Pant For Boys & Girls,"Red, Sleeveless",₹599,"₹1,499",60% off,https://flipkart.com/x2o-track-pant-boys-girls/p/itmfdwfq98e4jrds?pid=KTKFVHZTPJVEMHDS&lid=LSTKTKFVHZTPJVEMHDSTBORU7&marketplace=FLIPKART&srno=b_6_220&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doVkTJwhysQh6Brf2sVW8mTUrSiSKWPb%2FBaM0utxzFT3OQ%3D%3D&ssid=06k2ij6ugg0000001609472509961
poksi,Boys & Girls Color Block Ankle Length,"Multicolor, Sleeveless",₹170,₹499,65% off,https://flipkart.com/poksi-boys-girls-color-block-ankle-length/p/itm1bc7f1b23fd2c?pid=SOCFNJ8HMH8GGZCY&lid=LSTSOCFNJ8HMH8GGZCYP7BN7P&marketplace=FLIPKART&srno=b_6_221&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFNJ8HMH8GGZCY.SEARCH&ssid=06k2ij6ugg0000001609472509961
Celebrity Club,Girls Below Knee Party Dress,"Blue, Pack of 1",₹349,"₹1,299",73% off,https://flipkart.com/celebrity-club-girls-below-knee-party-dress/p/itm42af87ff59786?pid=KDEFNAGRVJ77Y6XM&lid=LSTKDEFNAGRVJ77Y6XM2ETFPY&marketplace=FLIPKART&srno=b_6_222&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFNAGRVJ77Y6XM.SEARCH&ssid=06k2ij6ugg0000001609472509961
sonia collection,"Baby Girls, Girls Calf Length Casual Dress","Multicolor, Pack of 5",₹320,"₹1,150",72% off,https://flipkart.com/sonia-collection-indi-baby-girls-girls-calf-length-casual-dress/p/itmb4b05fb3c880d?pid=KDEFVDHJY3EDGNQH&lid=LSTKDEFVDHJY3EDGNQH6B3KQK&marketplace=FLIPKART&srno=b_6_223&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFVDHJY3EDGNQH.SEARCH&ssid=06k2ij6ugg0000001609472509961
BabyGo,Romper For Baby Girls Casual Embroidered Pure Cotton,"Purple, Pack of 1",₹543,₹799,32% off,https://flipkart.com/babygo-romper-baby-girls-casual-embroidered-pure-cotton/p/itmb16f8bb7fb570?pid=KDRFWFH3TUWGGUX6&lid=LSTKDRFWFH3TUWGGUX6WNFKAQ&marketplace=FLIPKART&srno=b_6_224&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doUZEclAkq4scYjpSOkktB4UFr08pISAmUxT9%2BLU94t%2FFg%3D%3D&ssid=06k2ij6ugg0000001609472509961
Kuchipoo,Girls Printed Cotton Blend T Shirt,"Multicolor, 3/4 Sleeve",₹539,"₹1,299",58% off,https://flipkart.com/kuchipoo-girls-printed-cotton-blend-t-shirt/p/itmf3w88g2pfxgmg?pid=KTBEZHQGNFC3EPPF&lid=LSTKTBEZHQGNFC3EPPFGUIOSJ&marketplace=FLIPKART&srno=b_6_225&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KTBEZHQGNFC3EPPF.SEARCH&ssid=06k2ij6ugg0000001609472509961
Kedar Fab,"Girls Lehenga Choli Ethnic Wear, Party Wear, Western We...","Grey, Sleeveless",₹499,"₹3,999",87% off,https://flipkart.com/kedar-fab-girls-lehenga-choli-ethnic-wear-party-western-wear-embroidered-lehenga-dupatta-set/p/itm20e0eaf1a9104?pid=KLCFPH6GRCMZJVFU&lid=LSTKLCFPH6GRCMZJVFURMCCMK&marketplace=FLIPKART&srno=b_6_226&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KLCFPH6GRCMZJVFU.SEARCH&ssid=06k2ij6ugg0000001609472509961
A-Z dresses,Girls Below Knee Casual Dress,Grey,₹199,₹999,80% off,https://flipkart.com/a-z-dresses-girls-below-knee-casual-dress/p/itm7dac013a3b616?pid=KDEFNDTWDFTFMFGP&lid=LSTKDEFNDTWDFTFMFGPHJPLU9&marketplace=FLIPKART&srno=b_6_227&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFNDTWDFTFMFGP.SEARCH&ssid=06k2ij6ugg0000001609472509961
M QUEEN,Girls Midi/Knee Length Casual Dress,"Light Blue, Pack of 1",₹289,"₹1,299",77% off,https://flipkart.com/m-queen-girls-midi-knee-length-casual-dress/p/itm5dffd8fc0c665?pid=KDEFUP79NSCKTWZW&lid=LSTKDEFUP79NSCKTWZWCOHVSG&marketplace=FLIPKART&srno=b_6_228&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFUP79NSCKTWZW.SEARCH&ssid=06k2ij6ugg0000001609472509961
YORA,"Women, Girls Sports Lightly Padded Bra",Pack of 5,₹329,₹999,67% off,https://flipkart.com/yora-women-girls-padded-sports-bra-comes-seamless-cup-giving-complete-support-indoor-outdoor-sports-removable-pad-looks-gives-stunning-look-thin-tank-vest-top-free-size-intense-workout-running-front-closure-zipper-foam-cups-material-sport-light-weight-super-soft-smooth-stretchy-great-well-made-quality-all-stitching-perfect-very-comfortable-extended-wear-the-absorbs-sweat-doesn-t-make-you-feel-sticky-wet-soft-padding-nice-shape-allows-sheer-top-over-it-pads-the-inside-has-small-opening-contains-pad-pads-easy-put-take-out-full-coverage-wirefree-bras-supportive-fit-chest-circumference-ranging-30-36-n-nfull-zip-non-wired-strapless-women-lightly/p/itm4dbfdec9d4c6a?pid=BRAFNHWFPXQMDWZY&lid=LSTBRAFNHWFPXQMDWZYPATFFG&marketplace=FLIPKART&srno=b_6_229&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.BRAFNHWFPXQMDWZY.SEARCH&ssid=06k2ij6ugg0000001609472509961
CUTIEKINS,Girls Casual Polyester Fashion Sleeve Top,"Multicolor, Sleeveless",₹415,₹899,53% off,https://flipkart.com/cutiekins-girls-casual-polyester-fashion-sleeve-top/p/itmb628da021abb2?pid=KTOFH7TJRGPECKJZ&lid=LSTKTOFH7TJRGPECKJZEJJLCE&marketplace=FLIPKART&srno=b_6_230&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doW%2BfKRx7ugtXpuuo%2BeNup%2BLFMxnS3NkQAbDMthylqr0ug%3D%3D&ssid=06k2ij6ugg0000001609472509961
SIYA SHOPIVATE,Baby Boys & Baby Girls Self Design Ankle Length,"Pink, Fashion Sleeve",₹299,₹699,57% off,https://flipkart.com/siya-shopivate-baby-boys-girls-self-design-ankle-length/p/itmcdda982cfb094?pid=SOCFVAU4QFMAM7DE&lid=LSTSOCFVAU4QFMAM7DEYVMMQE&marketplace=FLIPKART&srno=b_6_231&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.SOCFVAU4QFMAM7DE.SEARCH&ssid=06k2ij6ugg0000001609472509961
MRM CREATION,Barbie Girls Midi/Knee Length Party Dress,"Blue, Pack of 1",₹219,₹999,78% off,https://flipkart.com/mrm-creation-girls-midi-knee-length-party-dress/p/itmbd9fc62181ea9?pid=KDEFZ6ZUNTAE5M62&lid=LSTKDEFZ6ZUNTAE5M62CDGWOG&marketplace=FLIPKART&srno=b_6_232&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFZ6ZUNTAE5M62.SEARCH&ssid=06k2ij6ugg0000001609472509961
yashvi trends,Girls Calf Length Party Dress,Pink,₹445,"₹1,599",72% off,https://flipkart.com/yashvi-trends-girls-calf-length-party-dress/p/itm5f1ea2efff55d?pid=KDEFGAGY4JDPNYZC&lid=LSTKDEFGAGY4JDPNYZCXFOPV5&marketplace=FLIPKART&srno=b_6_233&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KDEFGAGY4JDPNYZC.SEARCH&ssid=06k2ij6ugg0000001609472509961
jogani brother,"Girls Lehenga Choli Ethnic Wear Embroidered Lehenga, Ch...","Black, Pack of 1",₹549,"₹1,599",65% off,https://flipkart.com/jogani-brother-girls-lehenga-choli-ethnic-wear-embroidered-lehenga-dupatta-set/p/itm5707148286cde?pid=KLCFWN9FYHGGJGHZ&lid=LSTKLCFWN9FYHGGJGHZLJ4WYC&marketplace=FLIPKART&srno=b_6_234&otracker=browse&fm=organic&iid=en_Kme9iwGc5rmBcwsbc3semhTPxYZixbukWjiSDft0doXzWY%2FpZIXIdehavale5NodudYcctp8B1Qaett%2BnVmSKQ%3D%3D&ssid=06k2ij6ugg0000001609472509961
FashionClub,Girls Party(Festive) Top Skirt,Multicolor,₹369,"₹1,399",73% off,https://flipkart.com/fashionclub-girls-party-festive-top-skirt/p/itmabc93d31ec91a?pid=KPBFKB7WZWQ5EPKE&lid=LSTKPBFKB7WZWQ5EPKEH9ZR7X&marketplace=FLIPKART&srno=b_6_235&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFKB7WZWQ5EPKE.SEARCH&ssid=06k2ij6ugg0000001609472509961
D.G.ITALIYA TRENDZ,"Baby Girls Lehenga Choli Ethnic Wear, Party Wear Embroi...",Multicolor,₹494,"₹1,999",75% off,https://flipkart.com/d-g-italiya-trendz-baby-girls-lehenga-choli-ethnic-wear-party-wear-embroidered-lehenga-dupatta-set/p/itm79b6166259762?pid=KLCFWBWAS9TQMWZF&lid=LSTKLCFWBWAS9TQMWZF9M564I&marketplace=FLIPKART&srno=b_6_236&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KLCFWBWAS9TQMWZF.SEARCH&ssid=06k2ij6ugg0000001609472509961
Kidszone,Baby Boys & Baby Girls Party(Festive) T-shirt Pyjama,"Red, Pink, Maroon",₹426,₹999,57% off,https://flipkart.com/kidszone-baby-boys-girls-party-festive-t-shirt-pyjama/p/itma5260f3f0afc4?pid=KPBFWGEGGR7W2G8J&lid=LSTKPBFWGEGGR7W2G8JADH8UL&marketplace=FLIPKART&srno=b_6_237&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFWGEGGR7W2G8J.SEARCH&ssid=06k2ij6ugg0000001609472509961
FTC FASHIONS,Girls Party(Festive) Top Dungaree,"Maroon, Pack of 1",₹279,₹999,72% off,https://flipkart.com/ftc-fashions-girls-party-festive-top-dungaree/p/itma9315fbcccea3?pid=KPBFUTEHVGZACVZU&lid=LSTKPBFUTEHVGZACVZUQVQBHA&marketplace=FLIPKART&srno=b_6_238&otracker=browse&fm=organic&iid=7dddd4af-fddb-4694-a79c-c1ca2115524a.KPBFUTEHVGZACVZU.SEARCH&ssid=06k2ij6ugg0000001609472509961
Black Pearl,"Boys & Girls, Men, Men & Women, Girls Printed, Graphic ...",Pack of 12,₹378,₹599,36% off,https://flipkart.com/black-pearl-boys-girls-men-men-women-girls-printed-graphic-print-bandana/p/itmffzcgzbjpacmh?pid=BDAFFZBFPZWGHZ5P&lid=LSTBDAFFZBFPZWGHZ5PUV33RN&marketplace=FLIPKART&srno=b_7_241&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.BDAFFZBFPZWGHZ5P.SEARCH&ssid=17rah2ogyo0000001609472515062
A-Z dresses,"kesari Y- Back Suspenders for Men, Boys, Girls, Women","Black, White",₹307,"₹1,499",79% off,https://flipkart.com/kesari-y-back-suspenders-men-boys-girls-women/p/itmfyvg7fpsbqyh7?pid=SUSFYUJHG6ZZYYCN&lid=LSTSUSFYUJHG6ZZYYCNGRKFPW&marketplace=FLIPKART&srno=b_7_242&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.SUSFYUJHG6ZZYYCN.SEARCH&ssid=17rah2ogyo0000001609472515062
CUTIEKINS,Girls Below Knee Casual Dress,"Multicolor, 3/4 Sleeve",₹199,₹999,80% off,https://flipkart.com/a-z-dresses-girls-below-knee-casual-dress/p/itm7dac013a3b616?pid=KDEFNDTWDFTFMFGP&lid=LSTKDEFNDTWDFTFMFGPHJPLU9&marketplace=FLIPKART&srno=b_7_243&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.KDEFNDTWDFTFMFGP.SEARCH&ssid=17rah2ogyo0000001609472515062
ULTRA TREND,Girls Casual Top Trouser,Maroon,₹704,"₹1,699",58% off,https://flipkart.com/cutiekins-girls-casual-top-trouser/p/itme8bad1216d3e7?pid=KPBFXZK2XK2YX8BV&lid=LSTKPBFXZK2XK2YX8BVSYS44D&marketplace=FLIPKART&srno=b_7_244&otracker=browse&fm=organic&iid=en_2Gaq%2FynIBjJf4tQVDIsOcibQMaY8m1curfexOBowztf9zmXg%2FDkCbRLG82EAiF4vQI8fg8uR2OgJzUAKbhYQZg%3D%3D&ssid=17rah2ogyo0000001609472515062
Clothes Shop,Minnie Girls Midi/Knee Length Casual Dress,"Multicolor, Sleeveless",₹371,₹999,62% off,https://flipkart.com/ultra-trend-girls-midi-knee-length-casual-dress/p/itmfcr9n93mqcstz?pid=KDEFCR7T6HGGGZKK&lid=LSTKDEFCR7T6HGGGZKKCXMNLR&marketplace=FLIPKART&srno=b_7_245&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.KDEFCR7T6HGGGZKK.SEARCH&ssid=17rah2ogyo0000001609472515062
Kuchipoo,"Girls Lehenga Choli Ethnic Wear Embroidered Ghagra, Cho...","Blue, Pack of 1",₹269,₹999,73% off,https://flipkart.com/clothes-shop-girls-lehenga-choli-ethnic-wear-embroidered-ghagra-choli-dupatta-set/p/itmdec6d05f50362?pid=KLCFVM8A24ZFGGC7&lid=LSTKLCFVM8A24ZFGGC7U5M8UE&marketplace=FLIPKART&srno=b_7_246&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.KLCFVM8A24ZFGGC7.SEARCH&ssid=17rah2ogyo0000001609472515062
Kidszone,Costume kids police dress for 7 to 8 years Kids Costume...,"Multicolor, Pack of 2",₹400,"₹1,000",60% off,https://flipkart.com/costume-kids-police-dress-7-8-years-wear/p/itm32ac83f48ff7b?pid=KCWFGH9ARYDXWVXA&lid=LSTKCWFGH9ARYDXWVXAN6GF2L&marketplace=FLIPKART&srno=b_7_247&otracker=browse&fm=organic&iid=fbe6fce1-d354-4e50-8d5e-acd2e44fc865.KCWFGH9ARYDXWVXA.SEARCH&ssid=17rah2ogyo0000001609472515062
