I,R,P,O,D
QOR9 WAVEBASS Bluetooth Headset,3.8,"₹1,899",2,36% off,https://www.flipkart.com/qor9-wavebass-bluetooth-headset/p/itmf1a1c49b90048?pid=ACCFVF6YSUUSFDDE&lid=LSTACCFVF6YSUUSFDDEIAC9GA&marketplace=FLIPKART&srno=b_1_4&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFVF6YSUUSFDDE.SEARCH&ssid=1h4kyhxak00000001609495469808
Obin HS-01 Super Bass Premium Wired Headset,4.1,₹479,1,68% off,https://www.flipkart.com/obin-hs-01-super-bass-premium-wired-headset/p/itm5a7087ed78518?pid=ACCFDCTB8S59TDK3&lid=LSTACCFDCTB8S59TDK3GBHH5Z&marketplace=FLIPKART&srno=b_1_5&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFDCTB8S59TDK3.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Vivo U20 / Y20 / S1 Pro / V17 / V19 / Y50 Wired Headset,4,₹299,9,70% off,https://www.flipkart.com/deparq-vivo-u20-y20-s1-pro-v17-v19-y50-wired-headset/p/itmaa7c28a062797?pid=ACCFWF8D8NYB4KZV&lid=LSTACCFWF8D8NYB4KZVWDPLOZ&marketplace=FLIPKART&srno=b_1_6&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWF8D8NYB4KZV.SEARCH&ssid=1h4kyhxak00000001609495469808
TIITAN S8-TBE Wired Headset,3.5,₹129,3,67% off,https://www.flipkart.com/tiitan-s8-tbe-wired-headset/p/itm221b83b155836?pid=ACCFZTQFGCTFE2R9&lid=LSTACCFZTQFGCTFE2R9G9M2QJ&marketplace=FLIPKART&srno=b_1_7&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFZTQFGCTFE2R9.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq R_ealme Narzo 20 / 10 A / 10 / C11 / C12 / C15 Wired Headset,3.9,₹291,9,70% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-c11-c12-c15-wired-headset/p/itmda4e2de5a5a29?pid=ACCFW4FRXGN48JQU&lid=LSTACCFW4FRXGN48JQUOQOIBN&marketplace=FLIPKART&srno=b_1_8&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW4FRXGN48JQU.SEARCH&ssid=1h4kyhxak00000001609495469808
"i-FiX Beats For 7, 8, X, 11, 12 Wired Headset",4,₹549,2,75% off,https://www.flipkart.com/i-fix-beats-7-8-x-11-12-wired-headset/p/itmbba29c11fce38?pid=ACCFX8WT8PP7KXHM&lid=LSTACCFX8WT8PP7KXHMJ2Z2RR&marketplace=FLIPKART&srno=b_1_9&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFX8WT8PP7KXHM.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Vivo V5/V7/V7pro/V9/V9pro/V11/V11pro/V15/V17/V17pro Wired Headset,3.3,₹298,9,70% off,https://www.flipkart.com/helokuki-vivo-v5-v7-v7pro-v9-v9pro-v11-v11pro-v15-v17-v17pro-wired-headset/p/itmfd8109347ed23?pid=ACCFPCW5FTKXYJJJ&lid=LSTACCFPCW5FTKXYJJJZAYGVO&marketplace=FLIPKART&srno=b_1_10&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFPCW5FTKXYJJJ.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Re_alme Narzo 20 Pro / Narzo 20 / Narzo 20A / 6i / 7Pro Wired Headset,3.8,₹299,9,70% off,https://www.flipkart.com/deparq-re-alme-narzo-20-pro-20a-6i-7pro-wired-headset/p/itm496d344a8e18b?pid=ACCFWF7FWES5H4CF&lid=LSTACCFWF7FWES5H4CFGUB93N&marketplace=FLIPKART&srno=b_1_11&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWF7FWES5H4CF.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Ral_me 6 Pro / 6 / C11 / C3 / C2 Wired Headset,4.3,₹299,9,70% off,https://www.flipkart.com/helokuki-ral-me-6-pro-c11-c3-c2-wired-headset/p/itm8a4a66449ff1f?pid=ACCFU9B63GHJF6GJ&lid=LSTACCFU9B63GHJF6GJNEUE6R&marketplace=FLIPKART&srno=b_1_12&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFU9B63GHJF6GJ.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Re_alme Narzo 10A / X2 Pro / XT / X2 / X Wired Headset,3.5,₹286,9,71% off,https://www.flipkart.com/helokuki-re-alme-narzo-10a-x2-pro-xt-x-wired-headset/p/itm351280fb6b281?pid=ACCFSS4FSMMQZSS2&lid=LSTACCFSS4FSMMQZSS2CMPD5S&marketplace=FLIPKART&srno=b_1_13&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFSS4FSMMQZSS2.SEARCH&ssid=1h4kyhxak00000001609495469808
I Kall k44 40 W Bluetooth Home Theatre,3.6,"₹1,499",2,40% off,https://www.flipkart.com/kall-k44-40-w-bluetooth-home-theatre/p/itm8cc3343e2ebc6?pid=ACCFZ9UVVHG7VCK9&lid=LSTACCFZ9UVVHG7VCK90QGW2T&marketplace=FLIPKART&srno=b_1_14&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFZ9UVVHG7VCK9.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq V_IVO U20 / Y 20 / V19 / S1 Pro / Z1 x / Y11 / Y15 Wired Headset,3.7,₹299,9,70% off,https://www.flipkart.com/deparq-v-ivo-u20-y-20-v19-s1-pro-z1-x-y11-y15-wired-headset/p/itm7d18223abcbcc?pid=ACCFW9GUE3NT26RF&lid=LSTACCFW9GUE3NT26RFSBNC6F&marketplace=FLIPKART&srno=b_1_15&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW9GUE3NT26RF.SEARCH&ssid=1h4kyhxak00000001609495469808
HELOKUKI O_ppo A9 / A5s / A31 / A1k / A5 /A31 / A12 / A52 Wired Headset,3.5,₹287,9,71% off,https://www.flipkart.com/helokuki-o-ppo-a9-a5s-a31-a1k-a5-a31-a12-a52-wired-headset/p/itmbd18ba971bbd9?pid=ACCFTZ5PRFHCZZNS&lid=LSTACCFTZ5PRFHCZZNSTMCBII&marketplace=FLIPKART&srno=b_1_16&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFTZ5PRFHCZZNS.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Re_alme C11 / C3 / X3 / XT / X2 Pro Wired Headset,3.7,₹289,9,71% off,https://www.flipkart.com/helokuki-re-alme-c11-c3-x3-xt-x2-pro-wired-headset/p/itm050f85e18fdfd?pid=ACCFU9C7NF6EF97P&lid=LSTACCFU9C7NF6EF97POOE153&marketplace=FLIPKART&srno=b_1_17&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFU9C7NF6EF97P.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Sam_sung Galaxy M31 / M21 / M01 / M30s / M11 / M10 Wired Headset,3.7,₹293,9,70% off,https://www.flipkart.com/helokuki-sam-sung-galaxy-m31-m21-m01-m30s-m11-m10-wired-headset/p/itmc18836e5fe467?pid=ACCFTZNGRF47APFB&lid=LSTACCFTZNGRF47APFBMJ3C2M&marketplace=FLIPKART&srno=b_1_18&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFTZNGRF47APFB.SEARCH&ssid=1h4kyhxak00000001609495469808
"Deparq Vivo V20 / V20 SE / Y20 / U20 / Wired Headset (White, In the Ear) Wired Headset",3,₹299,9,70% off,https://www.flipkart.com/deparq-vivo-v20-se-y20-u20-wired-headset-white-ear/p/itmbad7e94c37ed0?pid=ACCFWF86HDXM4HPH&lid=LSTACCFWF86HDXM4HPHQHZC1F&marketplace=FLIPKART&srno=b_1_19&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWF86HDXM4HPH.SEARCH&ssid=1h4kyhxak00000001609495469808
Gionee EP3 Wired Headset,4.2,₹449,7,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm0ef74f26dd590?pid=ACCFWGNG34QQHEGK&lid=LSTACCFWGNG34QQHEGKLW297H&marketplace=FLIPKART&srno=b_1_20&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWGNG34QQHEGK.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki HK STEREO YELLOW Wired Headset,4.7,₹278,9,72% off,https://www.flipkart.com/helokuki-hk-stereo-yellow-wired-headset/p/itm9b1c56f200b65?pid=ACCFPJ4EFPARYYFU&lid=LSTACCFPJ4EFPARYYFUONQZ3C&marketplace=FLIPKART&srno=b_1_21&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFPJ4EFPARYYFU.SEARCH&ssid=1h4kyhxak00000001609495469808
Gionee EP3 Wired Headset,3.5,₹449,7,43% off,https://www.flipkart.com/gionee-ep3-wired-headset/p/itm93195afe115d4?pid=ACCFWGNPCCBJG6BG&lid=LSTACCFWGNPCCBJG6BGQDTRIX&marketplace=FLIPKART&srno=b_1_22&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWGNPCCBJG6BG.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Samsung Galaxy M10/M20/M20s/M30/M30s/M40/A20/A30/A50 Wired Headset,3.8,₹268,9,73% off,https://www.flipkart.com/helokuki-samsung-galaxy-m10-m20-m20s-m30-m30s-m40-a20-a30-a50-wired-headset/p/itm0d7bb3b868a2c?pid=ACCFP68HX7MWWF38&lid=LSTACCFP68HX7MWWF38GFWRFX&marketplace=FLIPKART&srno=b_1_23&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFP68HX7MWWF38.SEARCH&ssid=1h4kyhxak00000001609495469808
QOR9 TRENDER Y2 Bluetooth Headset,4.2,"₹1,169",1,41% off,https://www.flipkart.com/qor9-trender-y2-bluetooth-headset/p/itmba6eb72784e50?pid=ACCFSPYAHGDMZNEH&lid=LSTACCFSPYAHGDMZNEHJD8NQD&marketplace=FLIPKART&srno=b_1_24&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFSPYAHGDMZNEH.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Opp_o F17 Pro / F17 / F15 / F11Pro / Reno 4 Pro / Reno 4 Wired Headset,4.2,₹299,9,70% off,https://www.flipkart.com/deparq-opp-o-f17-pro-f15-f11pro-reno-4-wired-headset/p/itm7d8fbc2ba4013?pid=ACCFWF8QTN8FHGRG&lid=LSTACCFWF8QTN8FHGRGVXGC66&marketplace=FLIPKART&srno=b_1_25&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWF8QTN8FHGRG.SEARCH&ssid=1h4kyhxak00000001609495469808
Edifier R 12U 4 W Laptop/Desktop Speaker,3.6,"₹1,035",1,39% off,https://www.flipkart.com/edifier-r-12u-4-w-laptop-desktop-speaker/p/itmfd63b09a9cb27?pid=ACCF46T5UR8YYMEY&lid=LSTACCF46T5UR8YYMEYLYQDSA&marketplace=FLIPKART&srno=b_1_26&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCF46T5UR8YYMEY.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Samsung Galaxy M51 / M31s / A51 / M11 / A71 / A50s / M31 Wired Headset,3.3,₹289,9,71% off,https://www.flipkart.com/deparq-samsung-galaxy-m51-m31s-a51-m11-a71-a50s-m31-wired-headset/p/itm8d7888f2c5dfc?pid=ACCFW8FCWWZZKZRG&lid=LSTACCFW8FCWWZZKZRGPDUQKN&marketplace=FLIPKART&srno=b_1_27&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW8FCWWZZKZRG.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki S_amsung Gal_axy M01 / M31 / M30s / M21 / M11 / M30 Wired Headset,4,₹399,9,60% off,https://www.flipkart.com/helokuki-s-amsung-gal-axy-m01-m31-m30s-m21-m11-m30-wired-headset/p/itm171a2705aa101?pid=ACCFTYGNKACA4C8X&lid=LSTACCFTYGNKACA4C8XLFIQGN&marketplace=FLIPKART&srno=b_1_28&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFTYGNKACA4C8X.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Red_mi Note 8 Pro / Note 8 / 8 / 8A / 7 Pro / 7 / 7A Wired Headset,3.9,₹299,9,70% off,https://www.flipkart.com/deparq-red-mi-note-8-pro-8a-7-7a-wired-headset/p/itm5adf611039f6f?pid=ACCFW67NJAEGNUJF&lid=LSTACCFW67NJAEGNUJFXDA1QF&marketplace=FLIPKART&srno=b_1_29&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW67NJAEGNUJF.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Red_mi Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9 Wired Headset,3.6,₹299,9,70% off,https://www.flipkart.com/deparq-red-mi-note-9-pro-max-prime-wired-headset/p/itm489f8838b90c4?pid=ACCFWF6Q84WWZQ94&lid=LSTACCFWF6Q84WWZQ94EJ1XGG&marketplace=FLIPKART&srno=b_1_30&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFWF6Q84WWZQ94.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq Note 9 Pro Max / Note 9 Pro / Note 9 / 9 Prime / 9A Wired Headset,3.5,₹289,9,71% off,https://www.flipkart.com/deparq-note-9-pro-max-prime-9a-wired-headset/p/itma09a9fed55c4a?pid=ACCFW9K7RUGQYVCK&lid=LSTACCFW9K7RUGQYVCKKW4AGH&marketplace=FLIPKART&srno=b_1_31&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW9K7RUGQYVCK.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki GM31 / M21 / A31 / M30S / A51 /A71 Wired Headset,4,₹278,9,72% off,https://www.flipkart.com/helokuki-gm31-m21-a31-m30s-a51-a71-wired-headset/p/itm1417a5447e2db?pid=ACCFSXHYM4ESHPEY&lid=LSTACCFSXHYM4ESHPEYX9RHK8&marketplace=FLIPKART&srno=b_1_32&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFSXHYM4ESHPEY.SEARCH&ssid=1h4kyhxak00000001609495469808
RENMAX PTT Earpiece 2-Pin Earphone with Mic for Walkie Talkie Wired Headset,4.2,₹199,3,50% off,https://www.flipkart.com/renmax-ptt-earpiece-2-pin-earphone-mic-walkie-talkie-wired-headset/p/itmf153500de1d29?pid=ACCFF2RF4GVYQEFJ&lid=LSTACCFF2RF4GVYQEFJJEQZAF&marketplace=FLIPKART&srno=b_1_33&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFF2RF4GVYQEFJ.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Note 7 Pro / Note 7/ K20 / 7 / 7A / A3 / mi 10 Wired Headset,3.3,₹278,9,72% off,https://www.flipkart.com/helokuki-note-7-pro-7-k20-7a-a3-mi-10-wired-headset/p/itme614dbc2bf0b0?pid=ACCFSV6ZFMDWCYVR&lid=LSTACCFSV6ZFMDWCYVRIFIK7D&marketplace=FLIPKART&srno=b_1_34&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFSV6ZFMDWCYVR.SEARCH&ssid=1h4kyhxak00000001609495469808
Edifier P180 Plus Earbuds with Remote and Mic Wired Headset,3.3,₹629,8,30% off,https://www.flipkart.com/edifier-p180-plus-earbuds-remote-mic-wired-headset/p/itmd5a6b7f50627c?pid=ACCFXT6TNHHXJACY&lid=LSTACCFXT6TNHHXJACYSUKFII&marketplace=FLIPKART&srno=b_1_35&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFXT6TNHHXJACY.SEARCH&ssid=1h4kyhxak00000001609495469808
Deparq R_ealme Narzo 20 / Narzo 10 A / Narzo 10 / 7 Pro / 7 / 7i Wired Headset,(10),₹287,9,71% off,https://www.flipkart.com/deparq-r-ealme-narzo-20-10-7-pro-7i-wired-headset/p/itm5543ed9790537?pid=ACCFW77REGNP8KJ3&lid=LSTACCFW77REGNP8KJ3NMKRAS&marketplace=FLIPKART&srno=b_1_36&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFW77REGNP8KJ3.SEARCH&ssid=1h4kyhxak00000001609495469808
Edifier H840 Wired Headset without Mic,(484),"₹1,791",2,28% off,https://www.flipkart.com/edifier-h840-wired-headset-without-mic/p/itm93313c4520902?pid=ACCFEGCKWK6HYHHG&lid=LSTACCFEGCKWK6HYHHGC7MGGB&marketplace=FLIPKART&srno=b_1_37&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFEGCKWK6HYHHG.SEARCH&ssid=1h4kyhxak00000001609495469808
Edifier P 190 Wired Headset without Mic,(713),₹891,1,55% off,https://www.flipkart.com/edifier-p-190-wired-headset-without-mic/p/itm910a950890a91?pid=ACCFEGTFTAF9KZRH&lid=LSTACCFEGTFTAF9KZRHQSUV4U&marketplace=FLIPKART&srno=b_1_38&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFEGTFTAF9KZRH.SEARCH&ssid=1h4kyhxak00000001609495469808
HELOKUKI O_ppo F15 / F11 / F11 Pro / F9 / F9 Pro Wired Headset,(16),₹299,9,70% off,https://www.flipkart.com/helokuki-o-ppo-f15-f11-pro-f9-wired-headset/p/itm2e10e648a6d89?pid=ACCFTZFGCFFE4SMB&lid=LSTACCFTZFGCFFE4SMBREKK1E&marketplace=FLIPKART&srno=b_1_39&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFTZFGCFFE4SMB.SEARCH&ssid=1h4kyhxak00000001609495469808
Helokuki Re_a_lme Narzo 10 A / 6 Pro / 6 / 5i / C3 Wired Headset,(916),₹267,9,73% off,https://www.flipkart.com/helokuki-re-a-lme-narzo-10-6-pro-5i-c3-wired-headset/p/itm3a1635d888de9?pid=ACCFSXKZFDJV8DVX&lid=LSTACCFSXKZFDJV8DVX8FXX3D&marketplace=FLIPKART&srno=b_1_40&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=0b63d790-7bf1-4a2e-950b-097831240bc4.ACCFSXKZFDJV8DVX.SEARCH&ssid=1h4kyhxak00000001609495469808
HELOKUKI O_p_po Reno 2 / 2Z / 2F / 3Pro / 10x Wired Headset,3.4,₹277,9,72% off,https://www.flipkart.com/helokuki-o-p-po-reno-2-2z-2f-3pro-10x-wired-headset/p/itm0f1607343cb18?pid=ACCFUYZG9HHPHMKQ&lid=LSTACCFUYZG9HHPHMKQZ80CID&marketplace=FLIPKART&srno=b_2_41&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=5d56d685-d028-4d15-91d7-31b8cf888c92.ACCFUYZG9HHPHMKQ.SEARCH&ssid=kdjpqdpdr40000001609495475356
Gionee ep1 Wired Headset,4.1,₹499,7,37% off,https://www.flipkart.com/gionee-ep1-wired-headset/p/itm29c31e7f688a7?pid=ACCFTE4RMN8VWGCP&lid=LSTACCFTE4RMN8VWGCPIU4NUW&marketplace=FLIPKART&srno=b_2_42&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=5d56d685-d028-4d15-91d7-31b8cf888c92.ACCFTE4RMN8VWGCP.SEARCH&ssid=kdjpqdpdr40000001609495475356
Lumiford HD99 Bluetooth Headset,3.7,"₹1,399",3,57% off,https://www.flipkart.com/lumiford-hd99-bluetooth-headset/p/itm96d8521fe8448?pid=ACCFHDFGRDPZQA6F&lid=LSTACCFHDFGRDPZQA6FO2YZKE&marketplace=FLIPKART&srno=b_2_43&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=5d56d685-d028-4d15-91d7-31b8cf888c92.ACCFHDFGRDPZQA6F.SEARCH&ssid=kdjpqdpdr40000001609495475356
Olbon SPne 4 W Bluetooth  Speaker,4.2,₹373,1,73% off,https://www.flipkart.com/olbon-spne-4-w-bluetooth-speaker/p/itm4ab0e25e465fe?pid=ACCFPZU9U5KFFDGX&lid=LSTACCFPZU9U5KFFDGXSL9WMP&marketplace=FLIPKART&srno=b_2_44&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=en_QXi8uM6i9JfIjY%2F%2BaAmErQTDHrA5YMewScuTeO5lMoUpq3C98SYp%2F6NK2QX4PPgIpCTkhV96blXD18MVUO7AnA%3D%3D&ssid=kdjpqdpdr40000001609495475356
CRICSHOW HBS730 BT Bluetooth Headset,3.5,₹359,1,70% off,https://www.flipkart.com/cricshow-hbs730-bt-bluetooth-headset/p/itm167760267447c?pid=ACCFUAPCDNVAMDCU&lid=LSTACCFUAPCDNVAMDCU0GJZQ3&marketplace=FLIPKART&srno=b_2_45&otracker=clp_omu_infinite_Deals%2Bof%2Bthe%2BDay_2_2.dealCard.OMU_INFINITE_dotd-store_dotd-store_VLO9AZPF3DJW&fm=organic&iid=5d56d685-d028-4d15-91d7-31b8cf888c92.ACCFUAPCDNVAMDCU.SEARCH&ssid=kdjpqdpdr40000001609495475356
